The Future Professionalsl,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attendance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,,Summary,,,,,,,,,,,
,21,Name 21,16-Aug-22,15th of every month,A2,AS,P,P,,,P,P,N,P,P,,,A,A,A,P,P,,,P,P,P,P,P,,,P,P,,,,,14,3,17,82.35%,3,3,,,,,,
,22,Name 22,16-Aug-22,15th of every month,AS,AS,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,23,Name 23,16-Aug-22,15th of every month,AS,AS,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,A,P,P,A,A,,,A,A,,,,,13,5,18,72.22%,4,1,4,,,,,
,24,Name 24,23-Aug-22,20th of every month,AS,AS,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,25,Name 25,23-Aug-22,20th of every month,AS,AS,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,A,P,P,,,P,P,,,,,17,1,18,94.44%,1,1,,,,,,
,26,Name 26,8-Sep-22,1st of every month,A2,AS,P,P,,,P,N,P,P,A,,,A,A,P,P,N,,,P,P,A,P,N,,,P,A,,,,,10,5,15,66.67%,1,3,1,1,,,,
,27,Name 27,13-Sep-22,1st of every month,AS,AS,N,A,,,A,A,A,N,A,,,A,P,A,A,A,,,A,A,A,N,A,,,A,A,,,,,1,15,16,6.25%,3,4,2,6,3,,,
,28,Name 28,19-Sep-22,20th of Each Month,AS,AS,P,P,,,P,P,A,A,A,,,P,P,P,P,A,,,P,P,A,A,P,,,A,A,,,,,10,8,18,55.56%,2,3,1,2,2,,,
,29,Name 29,22-Jun-21,20th of every month,C1,O1,P,P,,,P,A,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,A,,,,,16,2,18,88.89%,1,1,1,,,,,
,30,Name 30,11-Aug-21,1st of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,A,A,A,,,A,P,,,,,14,4,18,77.78%,4,4,,,,,,
,31,Name 31,7-Sep-21,1st of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,A,,,,,17,1,18,94.44%,1,1,,,,,,
,32,Name 32,1-Sep-21,1st of every month,C1,O1,P,P,,,P,A,A,P,P,,,P,P,A,A,P,,,P,A,A,A,P,,,A,A,,,,,9,9,18,50.00%,2,2,2,3,2,,,
,33,Name 33,8-Nov-21,1st of every month,C1,O1,P,P,,,P,P,P,P,A,,,P,P,P,P,P,,,P,A,A,A,A,,,P,P,,,,,13,5,18,72.22%,4,1,4,,,,,
,34,Name 34,25-Aug-21,20th of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,P,A,A,A,A,,,A,A,,,,,11,7,18,61.11%,6,1,6,,,,,
,35,Name 35,15-Nov-21,1st of every month,C1,O1,A,A,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,A,,,,,16,2,18,88.89%,1,2,1,,,,,
,36,Name 36,16-Nov-21,15th of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,A,A,,,P,P,A,P,A,,,P,P,,,,,14,4,18,77.78%,1,2,1,1,,,,
,37,Name 37,11-Jan-22,1st of every month,O2,O1,A,P,,,P,P,A,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,17,1,18,94.44%,1,1,1,,,,,
,38,Name 38,7-Mar-22,1st of every month,C1,O1,P,P,,,P,P,P,A,P,,,P,P,P,A,P,,,P,P,P,A,P,,,A,A,,,,,13,5,18,72.22%,2,1,1,1,2,,,
,39,Name 39,16-May-22,10th of every month,C1,O1,P,A,,,P,P,A,A,A,,,P,P,P,A,A,,,P,P,P,P,A,,,P,A,,,,,10,8,18,55.56%,1,1,3,2,1,1,,
,40,Name 40,24-Jun-22,20th of every month,C1,O1,A,P,,,A,P,A,A,A,,,A,P,A,A,P,,,P,P,P,P,P,,,A,P,,,,,10,8,18,55.56%,1,1,1,4,2,1,,
,41,Name 41,13-Jun-22,1st of every month,C1,O1,A,A,,,P,A,A,A,A,,,A,A,A,A,A,,,A,A,A,A,A,,,A,A,,,,,1,17,18,5.56%,16,2,16,,,,,
,42,Name 42,23-May-22,20th of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,A,P,,,A,P,,,,,16,2,18,88.89%,1,1,1,,,,,
,43,Name 43,5-Jul-22,1st of every month,O2,O2,A,P,,,P,P,P,P,A,,,A,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,16,2,18,88.89%,2,1,2,,,,,
,44,Name 44,1-Jun-22,1st of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,45,Name 45,1-Jun-22,1st of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,46,Name 46,2-Jun-22,1st of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,47,Name 47,1-Jun-22,1st of every month,C1,O1,P,A,,,P,P,P,A,P,,,P,A,P,P,P,,,P,P,A,P,P,,,P,P,,,,,14,4,18,77.78%,1,1,1,1,1,,,
,48,Name 48,19-Jul-22,20th of every month,O2,O1,A,P,,,P,P,P,P,P,,,P,P,P,P,P,,,A,P,P,P,P,,,P,P,,,,,17,1,18,94.44%,1,1,1,,,,,
,49,Name 49,19-Jul-22,1st of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,A,P,,,,,16,2,18,88.89%,2,2,,,,,,
,50,Name 50,21-Jul-22,20th of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,51,Name 51,29-Aug-22,1st of every month,C1,O1,P,P,,,P,P,A,P,P,,,A,P,P,P,P,,,P,A,P,P,P,,,P,A,,,,,14,4,18,77.78%,1,1,1,1,1,,,
,52,Name 52,12-Sep-22,1st of every month,C1,O1,P,P,,,P,P,P,P,P,,,P,P,P,A,A,,,P,P,A,P,A,,,A,A,,,,,12,6,18,66.67%,3,2,1,3,,,,
,53,Name 53,14-Jun-22,1st of every month,O2,O2,P,P,,,P,P,A,P,P,,,P,A,A,A,A,,,P,A,P,A,P,,,P,P,,,,,11,7,18,61.11%,1,1,4,1,1,,,
,54,Name 54,18-Feb-22,11th of every month ,O2,O2,A,A,,,A,A,A,A,A,,,A,A,A,A,A,,,A,A,A,A,A,,,A,A,,,,,0,18,18,0.00%,19,19,,,,,,
,55,Name 55,1-Jul-21,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,A,P,,,,,17,1,18,94.44%,1,1,,,,,,
,56,Name 56,7-Oct-21,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,P,P,P,A,A,,,P,P,,,,,15,3,18,83.33%,2,1,2,,,,,
,57,Name 57,3-Jan-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,P,P,,,,,17,1,18,94.44%,1,1,,,,,,
,58,Name 58,11-Oct-21,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,A,P,P,,,P,P,P,A,A,,,P,P,,,,,15,3,18,83.33%,2,1,2,,,,,
,59,Name 59,1-Mar-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,P,P,,,,,17,1,18,94.44%,1,1,,,,,,
,60,Name 60,15-Mar-22,15th of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,P,P,,,,,17,1,18,94.44%,1,1,,,,,,
,61,Name 61,19-Jan-21,15th of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,A,P,,,P,A,A,A,A,,,P,P,,,,,13,5,18,72.22%,4,1,4,,,,,
,62,Name 62,19-Jan-21,1st of every month,O2,O2,A,A,,,A,A,A,A,A,,,A,P,A,A,A,,,A,A,A,A,A,,,A,A,,,,,1,17,18,5.56%,10,8,10,,,,,
,63,Name 63,3-Sep-21,1st of every month,O2,O2,P,A,,,P,P,P,P,P,,,P,P,A,P,P,,,P,P,A,P,P,,,P,P,,,,,15,3,18,83.33%,1,1,1,1,,,,
,64,Name 64,1-Sep-21,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,A,P,P,,,P,P,A,A,A,,,P,P,,,,,14,4,18,77.78%,3,1,3,,,,,
,65,Name 65,1-Sep-21,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,A,P,A,,,P,P,,,,,16,2,18,88.89%,1,1,1,,,,,
,66,Name 66,30-Nov-21,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,A,A,,,P,P,,,,,16,2,18,88.89%,2,2,,,,,,
,67,Name 67,3-Nov-21,1st of every month,O2,O2,P,P,,,P,P,P,A,P,,,P,P,A,P,P,,,P,A,P,P,P,,,P,P,,,,,15,3,18,83.33%,1,1,1,1,,,,
,68,Name 68,10-Jan-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,A,A,,,A,P,P,P,P,,,P,P,,,,,15,3,18,83.33%,3,3,,,,,,
,69,Name 69,3-Dec-21,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,70,Name 70,3-Aug-20,1st of every month,O3,O3,P,A,,,P,P,P,A,A,,,P,P,A,P,P,,,P,P,P,P,P,,,P,A,,,,,13,5,18,72.22%,1,1,2,1,1,,,
,71,Name 71,8-Mar-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,72,Name 72,6-Jun-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,A,P,P,P,P,,,A,A,P,A,A,,,P,A,,,,,12,6,18,66.67%,1,1,2,2,1,,,
,73,Name 73,24-Mar-22,20th of every month,O2,O2,P,P,,,P,P,P,P,A,,,A,A,A,A,A,,,P,P,P,P,A,,,P,P,,,,,11,7,18,61.11%,1,6,1,,,,,
,74,Name 74,2-Jun-22,1st of every month,O3,O3,A,P,,,A,A,A,A,A,,,P,A,A,A,A,,,A,A,A,A,A,,,A,A,,,,,2,16,18,11.11%,11,1,5,11,,,,
,75,Name 75,1-Jun-22,1st of every month,O2,O2,P,P,,,P,P,A,P,P,,,P,P,P,P,A,,,P,A,A,A,A,,,P,P,,,,,12,6,18,66.67%,4,1,1,4,,,,
,76,Name 76,2-Jun-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,A,A,,,,,16,2,18,88.89%,2,2,,,,,,
,77,Name 77,2-Jun-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,A,A,,,,,16,2,18,88.89%,2,2,,,,,,
,78,Name 78,8-Jun-22,1st of every month,O3,O2,A,A,,,A,A,A,P,P,,,P,P,P,P,A,,,P,A,P,P,P,,,A,P,,,,,11,7,18,61.11%,1,5,1,1,1,,,
,79,Name 79,27-Jun-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,A,P,P,P,,,P,P,P,P,P,,,A,P,,,,,16,2,18,88.89%,1,1,1,,,,,
,80,Name 80,28-Sep-22,1st of Each Month,O3,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,P,P,P,P,P,,,P,A,,,,,16,2,18,88.89%,1,1,1,,,,,
,81,Name 81,27-Jun-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,A,A,P,P,,,P,A,A,P,A,,,P,P,,,,,13,5,18,72.22%,1,2,2,1,,,,
,82,Name 82,6-Jul-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,A,P,P,P,,,P,P,P,P,P,,,A,P,,,,,16,2,18,88.89%,1,1,1,,,,,
,83,Name 83,11-Jan-22,1st of every month,O3,O2,P,A,,,P,P,P,P,P,,,P,P,P,A,P,,,P,P,A,A,A,,,A,A,,,,,11,7,18,61.11%,5,1,1,5,,,,
,84,Name 84,25-Jul-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,85,Name 85,27-Jul-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,A,P,,,,,17,1,18,94.44%,1,1,,,,,,
,86,Name 86,1-Aug-22,1st of every month,O2,O2,P,P,,,A,P,P,P,P,,,P,P,P,A,P,,,P,P,P,P,P,,,P,A,,,,,15,3,18,83.33%,1,1,1,1,,,,
,87,Name 87,4-Aug-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,A,P,,,A,P,,,,,16,2,18,88.89%,1,1,1,,,,,
,88,Name 88,23-Aug-22,20th of every month,O2,O2,A,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,1,1,,,,,,
,89,Name 89,23-Aug-22,20th of every month,C1,O2,A,A,,,P,P,P,A,A,,,P,A,A,P,P,,,P,P,P,P,P,,,A,A,,,,,11,7,18,61.11%,2,2,2,2,2,,,
,90,Name 90,29-Aug-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,A,P,,,,,17,1,18,94.44%,1,1,,,,,,
,91,Name 91,5-Sep-22,1st of every month,O2,O2,P,A,,,A,A,A,A,A,,,A,A,A,A,A,,,A,A,A,A,A,,,A,A,,,,,0,18,18,0.00%,18,18,,,,,,
,92,Name 92,6-Sep-22,1st of every month,O2,O2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,A,P,,,,,16,2,18,88.89%,2,2,,,,,,
,93,Name 93,9-May-22,1st of every month,AS,AS,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,A,A,,,P,A,,,,,15,3,18,83.33%,1,2,1,,,,,
,94,Name 94,1-Jun-22,1st of every month,AS,AS,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,95,Name 95,5-Jul-21,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,A,P,A,P,P,,,P,A,A,A,A,,,P,P,,,,,12,6,18,66.67%,4,1,1,4,,,,
,96,Name 96,19-Jan-22,15th of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,97,Name 97,3-Sep-19,1st of every month,O3,AS,P,P,,,P,P,P,P,P,,,A,P,A,A,A,,,P,P,P,P,P,,,P,A,,,,,13,5,18,72.22%,1,1,3,1,,,,
,98,Name 98,1-Feb-21,1st of every month,O3,O3,P,P,,,P,P,N,P,A,,,N,N,P,P,P,,,N,P,N,P,A,,,N,P,,,,,10,2,12,83.33%,1,1,1,,,,,
,99,Name 99,10-Sep-21,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,A,,,,,17,1,18,94.44%,1,1,,,,,,
,100,Name 100,15-Jun-21,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,A,,,,,17,1,18,94.44%,1,1,,,,,,
,101,Name 101,3-Feb-22,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,A,A,,,,,16,2,18,88.89%,2,2,,,,,,
,102,Name 102,1-Jun-22,1st of every month,O3,O3,P,A,,,P,P,P,A,P,,,P,A,P,P,P,,,P,P,P,P,P,,,P,P,,,,,15,3,18,83.33%,1,1,1,1,,,,
,103,Name 103,13-Jun-22,1st of every month,O3,O3,P,P,,,P,A,A,P,P,,,A,P,P,P,P,,,P,P,A,P,P,,,P,A,,,,,13,5,18,72.22%,1,2,1,1,1,,,
,104,Name 104,13-Jun-22,1st of every month,O3,O3,L,L,,,L,L,L,L,L,,,L,L,L,L,L,,,L,L,L,L,L,,,L,L,,,,,0,0,0,0.00%,25,25,,,,,,
,105,Name 105,16-Jun-22,1st of every month,O3,O3,P,A,,,P,P,P,A,P,,,P,A,P,P,P,,,P,P,P,P,P,,,P,P,,,,,15,3,18,83.33%,1,1,1,1,,,,
,106,Name 106,15-Jun-22,1st of every month,O3,O3,L,L,,,L,L,L,L,L,,,L,L,L,L,L,,,L,L,L,L,L,,,L,L,,,,,0,0,0,0.00%,25,25,,,,,,
,107,Name 107,14-Jun-22,1st of every month,O3,O3,P,P,,,P,P,A,P,P,,,A,A,A,A,A,,,P,P,A,A,P,,,P,P,,,,,10,8,18,55.56%,2,1,5,2,,,,
,108,Name 108,27-Jun-22,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,109,Name 109,5-Jul-22,1st of every month,O3,O3,P,P,,,P,P,P,P,A,,,A,P,P,P,P,,,P,P,P,P,P,,,P,A,,,,,15,3,18,83.33%,1,2,1,,,,,
,110,Name 110,28-Nov-22,1st of every month,AS,AS,P,P,,,P,P,P,P,P,,,P,P,A,P,P,,,P,P,A,A,P,,,P,A,,,,,14,4,18,77.78%,1,1,2,1,,,,
,111,Name 111,27-Jul-22,1st of every month,O3,O3,L,L,,,L,L,L,L,L,,,L,L,L,L,L,,,L,L,L,L,L,,,L,L,,,,,0,0,0,0.00%,25,25,,,,,,
,112,Name 112,6-Dec-22,1st of every month,AS,AS,L,L,,,L,L,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,A,P,,,,,14,1,15,93.33%,1,1,,,,,,
,113,Name 113,22-Aug-22,20th of every month,O3,O3,A,P,,,P,P,A,P,A,,,A,A,P,P,P,,,A,A,A,A,A,,,P,A,,,,,8,10,18,44.44%,1,1,1,3,5,1,,
,114,Name 114,31-Aug-22,1st of every month,O3,O3,P,P,,,P,P,A,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,A,,,,,16,2,18,88.89%,1,1,1,,,,,
,115,Name 115,31-Aug-22,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,A,P,P,P,,,P,P,A,P,P,,,P,P,,,,,16,2,18,88.89%,1,1,1,,,,,
,116,Name 116,31-Aug-22,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,A,,,,,17,1,18,94.44%,1,1,,,,,,
,117,Name 117,1-Sep-22,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,A,P,,,P,P,P,P,P,,,P,A,,,,,16,2,18,88.89%,1,1,1,,,,,
,118,Name 118,6-Sep-22,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,P,A,,,,,16,2,18,88.89%,1,1,1,,,,,
,119,Name 119,6-Sep-22,1st of every month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,A,P,A,,,P,P,P,P,P,,,P,P,,,,,16,2,18,88.89%,1,1,1,,,,,
,120,Name 120,27-May-22,1st of every month,Pre-O,Pre-Cambridge,P,P,,,P,P,A,A,A,,,P,P,P,A,P,,,A,P,A,A,A,,,P,P,,,,,10,8,18,55.56%,3,3,1,1,3,,,
,121,Name 121,1-Aug-22,1st of every month,Pre-O,Pre-Cambridge,P,P,,,A,P,P,P,P,,,P,P,P,A,P,,,P,P,P,P,P,,,A,A,,,,,14,4,18,77.78%,2,1,1,2,,,,
,122,Name 122,4-Aug-22,1st of every month,Pre-O,Pre-Cambridge,P,P,,,P,P,P,P,P,,,P,P,A,P,P,,,P,P,P,A,P,,,A,P,,,,,15,3,18,83.33%,1,1,1,1,,,,
,123,Name 123,5-Sep-22,1st of every month,Pre-O,Pre-Cambridge,P,P,,,P,P,P,P,A,,,P,P,P,P,P,,,P,P,P,P,P,,,A,A,,,,,15,3,18,83.33%,2,1,2,,,,,
,124,Name 124,13-Sep-22,1st of every month,Pre-O,Pre-Cambridge,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,P,P,,,,,17,1,18,94.44%,1,1,,,,,,
,125,Name 125,30-Sep-22,,AS,AS,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,A,P,,,P,P,,,,,17,1,18,94.44%,1,1,,,,,,
,126,Name 126,3-Oct-22,1st of Each Month,AS,AS,P,P,,,A,A,P,A,A,,,A,P,A,A,P,,,P,P,P,P,P,,,P,A,,,,,10,8,18,55.56%,1,2,3,2,1,,,
,127,Name 127,3-Oct-22,1st of Each Month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,128,Name 128,5-Oct-22,,O3,O3,A,P,,,P,P,P,A,P,,,A,P,P,P,P,,,P,P,P,P,A,,,N,P,,,,,14,3,17,82.35%,1,1,1,1,1,,,
,129,Name 129,5-Oct-22,1st of Each Month,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,130,Name 130,6-Oct-22,,C1,O1,P,P,,,P,P,P,A,P,,,A,P,P,P,P,,,P,P,P,P,P,,,A,P,,,,,15,3,18,83.33%,1,1,1,1,,,,
,131,Name 131,19-Oct-22,,O3,O3,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,A,P,P,,,A,A,,,,,15,3,18,83.33%,2,1,2,,,,,
